Name,Type,Category,Effect,Power,Acc,PP,TM,Prob.(%),Gen
Will-O-Wisp,Fire,Status,Burns opponent.,-,85,15,TM61,100,3
Wish,Normal,Status,The user recovers HP in the following turn.,-,-,10,,-,3
Yawn,Normal,Status,Puts opponent to sleep in the next turn.,-,-,10,,-,3
Acupressure,Normal,Status,Sharply raises a random stat.,-,-,30,,-,4
Air Slash,Flying,Special,May cause flinching.,75,95,20,,30,4
Aqua Jet,Water,Physical,User attacks first.,40,100,20,,-,4
Aqua Ring,Water,Status,Restores a little HP each turn.,-,-,20,,-,4
Aqua Tail,Water,Physical,,90,90,10,,-,4
Assurance,Dark,Physical,Power doubles if opponent already took damage in the same turn.,60,100,10,,-,4
Attack Order,Bug,Physical,High critical hit ratio.,90,100,15,,-,4
Aura Sphere,Fighting,Special,Ignores Accuracy and Evasiveness.,80,∞,20,,-,4
Avalanche,Ice,Physical,Power doubles if user took damage first.,60,100,10,,-,4
Brave Bird,Flying,Physical,User receives recoil damage.,120,100,15,,-,4
Brine,Water,Special,Power doubles if opponent's HP is less than 50%.,65,100,10,,-,4
Bug Bite,Bug,Physical,Receives the effect from the opponent's held berry.,60,100,20,,-,4
Bug Buzz,Bug,Special,May lower opponent's Special Defense.,90,100,10,,10,4
Bullet Punch,Steel,Physical,User attacks first.,40,100,30,,-,4
Captivate,Normal,Status,Sharply lowers opponent's Special Attack if opposite gender.,-,100,20,,-,4
Charge Beam,Electric,Special,May raise user's Special Attack.,50,90,10,TM57,70,4
Chatter,Flying,Special,Confuses opponent.,65,100,20,,100,4
Close Combat,Fighting,Physical,Lowers user's Defense and Special Defense.,120,100,5,,-,4
Copycat,Normal,Status,Copies opponent's last move.,-,-,20,,-,4
Cross Poison,Poison,Physical,High critical hit ratio. May poison opponent.,70,100,20,,10,4
Crush Grip,Normal,Physical,More powerful when opponent has higher HP.,-,100,5,,-,4
Dark Pulse,Dark,Special,May cause flinching.,80,100,15,TM97,20,4
Dark Void,Dark,Status,Puts all adjacent opponents to sleep.,-,50,10,,-,4
Defend Order,Bug,Status,Raises user's Defense and Special Defense.,-,-,10,,-,4
Defog,Flying,Status,Lowers opponent's Evasiveness and clears fog.,-,-,15,,-,4
Discharge,Electric,Special,May paralyze opponent.,80,100,15,,30,4
Double Hit,Normal,Physical,Hits twice in one turn.,35,90,10,,-,4
Draco Meteor,Dragon,Special,Sharply lowers user's Special Attack.,130,90,5,,-,4
Dragon Pulse,Dragon,Special,,85,100,10,,-,4
Dragon Rush,Dragon,Physical,May cause flinching.,100,75,10,,20,4
Drain Punch,Fighting,Physical,User recovers half the HP inflicted on opponent.,75,100,10,,-,4
Earth Power,Ground,Special,May lower opponent's Special Defense.,90,100,10,,10,4
Embargo,Dark,Status,Opponent cannot use items.,-,100,15,TM63,-,4
Energy Ball,Grass,Special,May lower opponent's Special Defense.,90,100,10,TM53,10,4
Feint,Normal,Physical,Only hits if opponent uses Protect or Detect in the same turn.,30,100,10,,-,4
Fire Fang,Fire,Physical,May cause flinching and/or burn opponent.,65,95,15,,10,4
Flare Blitz,Fire,Physical,User receives recoil damage. May burn opponent.,120,100,15,,10,4
Flash Cannon,Steel,Special,May lower opponent's Special Defense.,80,100,10,TM91,10,4
Fling,Dark,Physical,Power depends on held item.,-,100,10,TM56,-,4
Focus Blast,Fighting,Special,May lower opponent's Special Defense.,120,70,5,TM52,10,4
Force Palm,Fighting,Physical,May paralyze opponent.,60,100,10,,30,4
Gastro Acid,Poison,Status,Cancels out the effect of the opponent's Ability.,-,100,10,,-,4
Geomancy,Fairy,Status,"Charges on first turn, sharply raises user's Sp. Attack, Sp. Defense and Speed on the second.",-,-,10,,-,4
Giga Impact,Normal,Physical,User must recharge next turn.,150,90,5,TM68,-,4
Grass Knot,Grass,Special,"The heavier the opponent, the stronger the attack.",-,100,20,TM86,-,4
Gravity,Psychic,Status,Prevents moves like Fly and Bounce and the Ability Levitate for 5 turns.,-,-,5,,-,4
Guard Swap,Psychic,Status,User and opponent swap Defense and Special Defense.,-,-,10,,-,4
Gunk Shot,Poison,Physical,May poison opponent.,120,80,5,,30,4
Gyro Ball,Steel,Physical,"The slower the user, the stronger the attack.",-,100,5,TM74,-,4
Hammer Arm,Fighting,Physical,Lowers user's Speed.,100,90,10,,-,4
Head Smash,Rock,Physical,User receives recoil damage.,150,80,5,,-,4
Heal Block,Psychic,Status,Prevents the opponent from restoring HP for 5 turns.,-,-,15,,-,4
Heal Order,Bug,Status,User recovers half its max HP.,-,-,10,,-,4
Healing Wish,Psychic,Status,The user faints and the next Pokémon released is fully healed.,-,-,10,,-,4
Heart Swap,Psychic,Status,Stat changes are swapped with the opponent.,-,-,10,,-,4
Ice Fang,Ice,Physical,May cause flinching and/or freeze opponent.,65,95,15,,10,4
Ice Shard,Ice,Physical,User attacks first.,40,100,30,,-,4
Iron Head,Steel,Physical,May cause flinching.,80,100,15,,30,4
Judgment,Normal,Special,Type depends on the Arceus Plate being held.,100,100,10,,-,4
Last Resort,Normal,Physical,Can only be used after all other moves are used.,140,100,5,,-,4
Lava Plume,Fire,Special,May burn opponent.,80,100,15,,30,4
Leaf Storm,Grass,Special,Sharply lowers user's Special Attack.,130,90,5,,-,4
Lucky Chant,Normal,Status,Opponent cannot land critical hits for 5 turns.,-,-,30,,-,4
Lunar Dance,Psychic,Status,The user faints but the next Pokémon released is fully healed.,-,-,10,,-,4
Magma Storm,Fire,Special,"Traps opponent, damaging them for 4-5 turns.",100,75,5,,-,4
Magnet Bomb,Steel,Physical,Ignores Accuracy and Evasiveness.,60,∞,20,,-,4
Magnet Rise,Electric,Status,User becomes immune to Ground-type moves for 5 turns.,-,-,10,,-,4
Me First,Normal,Status,User copies the opponent's attack with 1.5× power.,-,-,20,,-,4
Metal Burst,Steel,Physical,Deals damage equal to 1.5x opponent's attack.,-,100,10,,-,4
Miracle Eye,Psychic,Status,"Resets opponent's Evasiveness, removes Dark's Psychic immunity.",-,-,40,,-,4
Mirror Shot,Steel,Special,May lower opponent's Accuracy.,65,85,10,,30,4
Mud Bomb,Ground,Special,May lower opponent's Accuracy.,65,85,10,,30,4
Nasty Plot,Dark,Status,Sharply raises user's Special Attack.,-,-,20,,-,4
Natural Gift,Normal,Physical,Power and type depend on the user's held berry.,-,100,15,,-,4
Night Slash,Dark,Physical,High critical hit ratio.,70,100,15,,-,4
Ominous Wind,Ghost,Special,May raise all user's stats at once.,60,100,5,,10,4
Payback,Dark,Physical,Power doubles if the user was attacked first.,50,100,10,TM66,-,4
Pluck,Flying,Physical,"If the opponent is holding a berry, its effect is stolen by user.",60,100,20,,-,4
Poison Jab,Poison,Physical,May poison the opponent.,80,100,20,TM84,30,4
Power Gem,Rock,Special,,80,100,20,,-,4
Power Swap,Psychic,Status,User and opponent swap Attack and Special Attack.,-,-,10,,-,4
Power Trick,Psychic,Status,User's own Attack and Defense switch.,-,-,10,,-,4
Power Whip,Grass,Physical,,120,85,10,,-,4
Psycho Cut,Psychic,Physical,High critical hit ratio.,70,100,20,,-,4
Psycho Shift,Psychic,Status,"Gives the opponent the user's status condition, if it hits.",-,90,10,,-,4
Punishment,Dark,Physical,Power increases when opponent's stats have been raised.,-,100,5,,-,4
Roar of Time,Dragon,Special,User must recharge next turn.,150,90,5,,-,4
Rock Climb,Normal,Physical,May confuse opponent.,90,85,20,,20,4
Rock Polish,Rock,Status,Sharply raises user's Speed.,-,-,20,TM69,-,4
Rock Wrecker,Rock,Physical,User must recharge next turn.,150,90,5,,-,4
Roost,Flying,Status,User recovers half of its max HP and loses the Flying type temporarily.,-,-,10,TM19,-,4
Seed Bomb,Grass,Physical,,80,100,15,,-,4
Seed Flare,Grass,Special,May lower opponent's Special Defense.,120,85,5,,40,4
Shadow Claw,Ghost,Physical,High critical hit ratio.,70,100,15,TM65,-,4
Shadow Force,Ghost,Physical,"Disappears on first turn, attacks on second. Can strike through Protect/Detect.",120,100,5,,-,4
Shadow Sneak,Ghost,Physical,User attacks first.,40,100,30,,-,4
Spacial Rend,Dragon,Special,High critical hit ratio.,100,95,5,,-,4
Stealth Rock,Rock,Status,Damages opponent switching into battle.,-,-,20,,-,4
Stone Edge,Rock,Physical,High critical hit ratio.,100,80,5,TM71,-,4
Sucker Punch,Dark,Physical,"User attacks first, but only works if opponent is readying an attack.",70,100,5,,-,4
Switcheroo,Dark,Status,Swaps held items with the opponent.,-,100,15,,-,4
Tailwind,Flying,Status,Doubles Speed for 4 turns.,-,-,30,,-,4
Thunder Fang,Electric,Physical,May cause flinching and/or paralyze opponent.,65,95,15,,10,4
Toxic Spikes,Poison,Status,Poisons opponents when they switch into battle.,-,-,20,,-,4
Trick Room,Psychic,Status,Slower Pokémon move first in the turn for 5 turns.,-,-,5,TM92,-,4
Trump Card,Normal,Special,"The lower the PP, the higher the power.",-,∞,5,,-,4
U-turn,Bug,Physical,User switches out immediately after attacking.,70,100,20,TM89,-,4
Vacuum Wave,Fighting,Status,User attacks first.,40,100,30,,-,4
Wake-Up Slap,Fighting,Physical,"Power doubles if opponent is asleep, but wakes it up.",70,100,10,,-,4
Wood Hammer,Grass,Status,User receives recoil damage.,120,100,15,,-,4
Worry Seed,Grass,Status,Changes the opponent's Ability to Insomnia.,-,100,10,,-,4
Wring Out,Normal,Special,"The higher the opponent's HP, the higher the damage.",-,100,5,,-,4
X-Scissor,Bug,Physical,,80,100,15,TM81,-,4
Zen Headbutt,Psychic,Physical,May cause flinching.,80,90,15,,20,4
Acid Spray,Poison,Special,Sharply lowers opponent's Special Defense.,40,100,20,,100,5
Acrobatics,Flying,Physical,Stronger when the user does not have a held item.,55,100,15,TM62,-,5
After You,Normal,Status,Gives target priority in the next turn.,-,-,15,,-,5
Ally Switch,Psychic,Status,User switches with opposite teammate.,-,-,15,,-,5
Autotomize,Steel,Status,Reduces weight and sharply raises Speed.,-,-,15,,-,5
Bestow,Normal,Status,Gives the user's held item to the target.,-,-,15,,-,5
Blue Flare,Fire,Special,May burn opponent.,130,85,5,,20,5
Bolt Strike,Electric,Physical,May paralyze opponent.,130,85,5,,20,5
Bulldoze,Ground,Physical,Lowers opponent's Speed.,60,100,20,TM78,100,5
Chip Away,Normal,Physical,Ignores opponent's stat changes.,70,100,20,,-,5
Circle Throw,Fighting,Physical,"In battles, the opponent switches. In the wild, the Pokémon runs.",60,90,10,,-,5
Clear Smog,Poison,Special,Removes all of the target's stat changes.,50,-,15,,-,5
Coil,Poison,Status,"Raises user's Attack, Defense and Accuracy.",-,-,20,,-,5
Cotton Guard,Grass,Status,Drastically raises user's Defense.,-,-,10,,-,5
Dragon Tail,Dragon,Physical,"In battles, the opponent switches. In the wild, the Pokémon runs.",60,90,10,TM82,-,5
Drill Run,Ground,Physical,High critical hit ratio.,80,95,10,,-,5
Dual Chop,Dragon,Physical,Hits twice in one turn.,40,90,15,,-,5
Echoed Voice,Normal,Special,Power increases each turn.,40,100,15,TM49,-,5
Electro Ball,Electric,Special,"The faster the user, the stronger the attack.",-,100,10,,-,5
Electroweb,Electric,Special,Lowers opponent's Speed.,55,95,15,,100,5
Entrainment,Normal,Status,Makes target's ability same as user's.,-,100,15,,-,5
Fiery Dance,Fire,Special,May raise user's Special Attack.,80,100,10,,50,5
Final Gambit,Fighting,Special,Inflicts damage equal to the user's remaining HP. User faints.,-,100,5,,-,5
Fire Pledge,Fire,Special,Added effects appear if combined with Grass Pledge or Water Pledge.,80,100,10,,-,5
Flame Burst,Fire,Special,May also injure nearby Pokémon.,70,100,15,,-,5
Flame Charge,Fire,Physical,Raises user's Speed.,50,100,20,TM43,100,5
Foul Play,Dark,Physical,Uses the opponent's Attack stat.,95,100,15,,-,5
Freeze Shock,Ice,Physical,"Charges on first turn, attacks on second. May paralyze opponent.",140,90,5,,30,5
Frost Breath,Ice,Special,Always results in a critical hit.,60,90,10,TM79,100,5
Fusion Bolt,Electric,Physical,Power increases if Fusion Flare is used in the same turn.,100,100,5,,-,5
Fusion Flare,Fire,Special,Power increases if Fusion Bolt is used in the same turn.,100,100,5,,-,5
Gear Grind,Steel,Physical,Hits twice in one turn.,50,85,15,,-,5
Glaciate,Ice,Special,Lowers opponent's Speed.,65,95,10,,100,5
Grass Pledge,Grass,Special,Added effects appear if preceded by Water Pledge or succeeded by Fire Pledge.,80,100,10,,-,5
Guard Split,Psychic,Status,Averages Defense and Special Defense with the target.,-,-,10,,-,5
Head Charge,Normal,Physical,User receives recoil damage.,120,100,15,,-,5
Heal Pulse,Psychic,Status,Restores half the target's max HP.,-,-,10,,-,5
Heart Stamp,Psychic,Physical,May cause flinching.,60,100,25,,30,5
Heat Crash,Fire,Physical,"The heavier the user, the stronger the attack.",-,100,10,,-,5
Heavy Slam,Steel,Physical,"The heavier the user, the stronger the attack.",-,100,10,,-,5
Hex,Ghost,Special,Inflicts more damage if the target has a status condition.,65,100,10,,-,5
Hone Claws,Dark,Status,Raises user's Attack and Accuracy.,-,-,15,,-,5
Horn Leech,Grass,Physical,User recovers half the HP inflicted on opponent.,75,100,10,,-,5
Hurricane,Flying,Special,May confuse opponent.,110,70,10,,30,5
Ice Burn,Ice,Special,"Charges on first turn, attacks on second. May burn opponent.",140,90,5,,30,5
Icicle Crash,Ice,Physical,May cause flinching.,85,90,10,,30,5
Incinerate,Fire,Special,Destroys the target's held berry.,60,100,15,,-,5
Inferno,Fire,Special,Burns opponent.,100,50,5,,100,5
Leaf Tornado,Grass,Special,May lower opponent's Accuracy.,65,90,10,,30,5
Low Sweep,Fighting,Physical,Lowers opponent's Speed.,65,100,20,TM47,100,5
Magic Room,Psychic,Status,Suppresses the effects of held items for five turns.,-,-,10,,-,5
Night Daze,Dark,Special,May lower opponent's Accuracy.,85,95,10,,40,5
Power Split,Psychic,Status,Averages Attack and Special Attack with the target.,-,-,10,,-,5
Psyshock,Psychic,Special,"Inflicts damage based on the target's Defense, not Special Defense.",80,100,10,TM03,-,5
Psystrike,Psychic,Special,"Inflicts damage based on the target's Defense, not Special Defense.",100,100,10,,-,5
Quash,Dark,Status,Makes the target act last this turn.,-,100,15,TM60,-,5
Quick Guard,Fighting,Status,Protects the user's team from high-priority moves.,-,-,15,,-,5
Quiver Dance,Bug,Status,"Raises user's Special Attack, Special Defense and Speed.",-,-,20,,-,5
Rage Powder,Bug,Status,"Forces attacks to hit user, not team-mates.",-,-,20,,-,5
Razor Shell,Water,Physical,May lower opponent's Defense.,75,95,10,,50,5
Reflect Type,Normal,Status,User becomes the target's type.,-,-,15,,-,5
Relic Song,Normal,Special,May put the target to sleep.,75,100,10,,10,5
Retaliate,Normal,Physical,Inflicts double damage if a teammate fainted on the last turn.,70,100,5,,-,5
Round,Normal,Special,Power increases if teammates use it in the same turn.,60,100,15,TM48,-,5
Sacred Sword,Fighting,Physical,Ignores opponent's stat changes.,90,100,20,,-,5
Scald,Water,Special,May burn opponent.,80,100,15,TM55,30,5
Searing Shot,Fire,Special,May burn opponent.,100,100,5,,30,5
Secret Sword,Fighting,Special,"Inflicts damage based on the target's Defense, not Special Defense.",85,100,10,,-,5
Shell Smash,Normal,Status,"Sharply raises user's Attack, Special Attack and Speed but lowers Defense and Special Defense.",-,-,15,,-,5
Shift Gear,Steel,Status,Raises user's Attack and sharply raises Speed.,-,-,10,,-,5
Simple Beam,Normal,Status,Changes target's ability to Simple.,-,100,15,,-,5
Sky Drop,Flying,Physical,"Takes opponent into the air on first turn, drops them on second turn.",60,100,10,TM58,-,5
Sludge Wave,Poison,Special,May poison opponent.,95,100,10,TM34,10,5
Smack Down,Rock,Physical,Makes Flying-type Pokémon vulnerable to Ground moves.,50,100,15,TM23,-,5
Snarl,Dark,Special,Lowers opponent's Special Attack.,55,95,15,TM95,100,5
Soak,Water,Status,Changes the target's type to water.,-,100,20,,-,5
Steamroller,Bug,Physical,May cause flinching.,65,100,20,,30,5
Stored Power,Psychic,Status,Power increases when user's stats have been raised.,20,100,10,,-,5
Storm Throw,Fighting,Physical,Always results in a critical hit.,60,100,10,,-,5
Struggle Bug,Bug,Special,Lowers opponent's Special Attack.,50,100,20,,100,5
Synchronoise,Psychic,Special,Hits any Pokémon that shares a type with the user.,120,100,15,,-,5
Tail Slap,Normal,Physical,Hits 2-5 times in one turn.,25,85,10,,-,5
Techno Blast,Normal,Special,Type depends on the Drive being held.,120,100,5,,-,5
Telekinesis,Psychic,Status,"Ignores opponent's Evasiveness for three turns, add Ground immunity.",-,-,15,,-,5
V-create,Fire,Physical,"Lowers user's Defense, Special Defense and Speed.",180,95,5,,100,5
Venoshock,Poison,Special,Inflicts double damage if the target is poisoned.,65,100,10,TM09,-,5
Volt Switch,Electric,Special,User must switch out after attacking.,70,100,20,TM72,-,5
Water Pledge,Water,Special,Added effects appear if preceded by Fire Pledge or succeeded by Grass Pledge.,80,100,10,,-,5
Wide Guard,Rock,Status,Protects the user's team from multi-target attacks.,-,-,10,,-,5
Wild Charge,Electric,Physical,User receives recoil damage.,90,100,15,TM93,-,5
Wonder Room,Psychic,Physical,Swaps every Pokémon's Defense and Special Defense for 5 turns.,-,-,10,,-,5
Work Up,Normal,Status,Raises user's Attack and Special Attack.,-,-,30,TM01,-,5
Aromatic Mist,Fairy,Status,Raises Special Defense of allies.,-,-,20,,-,6
Baby-Doll Eyes,Fairy,Status,Always goes first. Lowers the target's attack.,-,100,30,,-,6
Belch,Poison,Special,User must have consumed a Berry.,120,90,10,,-,6
Boomburst,Normal,Special,Hits all adjacent Pokémon.,140,100,10,,-,6
Celebrate,Normal,Status,The Pokémon congratulates you on your special day. No battle effect.,-,-,40,,-,6
Confide,Normal,Status,Lowers opponent's Special Attack.,-,-,20,TM100,-,6
Crafty Shield,Fairy,Status,Protects the Pokémon from status moves.,-,-,10,,-,6
Dazzling Gleam,Fairy,Special,Hits all adjacent opponents.,80,100,10,TM99,-,6
Diamond Storm,Rock,Physical,May raise user's Defense,100,95,5,,50,6
Disarming Voice,Fairy,Special,Ignores Accuracy and Evasiveness.,40,∞,15,,-,6
Dragon Ascent,Flying,Physical,Lowers user's Defense and Special Defense.,120,100,5,,-,6
Draining Kiss,Fairy,Special,User recovers most the HP inflicted on opponent.,50,100,10,,-,6
Eerie Impulse,Electric,Status,Sharply lowers opponent's Special Attack.,-,100,15,,-,6
Electric Terrain,Electric,Status,Prevents all Pokémon from falling asleep for 5 turns.,-,-,10,,-,6
Electrify,Electric,Status,Changes the target's move to Electric type.,-,-,20,,-,6
Fairy Lock,Fairy,Status,Prevents fleeing in the next turn.,-,-,10,,-,6
Fairy Wind,Fairy,Special,,40,100,30,,-,6
Fell Stinger,Bug,Physical,Drastically raises user's Attack if target is KO'd.,50,100,25,,-,6
Flower Shield,Fairy,Status,Sharply raises Defense of all Grass-type Pokémon on the field.,-,-,10,,-,6
Flying Press,Fighting,Physical,Deals Fighting and Flying type damage.,100,95,10,,-,6
Forest's Curse,Grass,Status,Adds Grass type to opponent.,-,100,20,,-,6
Freeze-Dry,Ice,Special,May freeze opponent. Super-effective against Water types.,70,100,20,,-,6
Grassy Terrain,Grass,Status,Restores a little HP of all Pokémon for 5 turns. ,-,-,10,,-,6
Happy Hour,Normal,Status,Doubles prize money from trainer battles.,-,-,30,,-,6
Hold Back,Normal,Physical,Always leaves opponent with at least 1 HP.,40,100,40,,-,6
Hold Hands,Normal,Status,Makes the user and an ally very happy.,-,-,40,,-,6
Hyperspace Fury,Dark,Physical,Lowers user's Defense. Can strike through Protect/Detect.,100,∞,5,,-,6
Hyperspace Hole,Psychic,Special,Can strike through Protect/Detect.,80,∞,5,,-,6
Infestation,Bug,Special,"Traps opponent, damaging them for 4-5 turns.",20,100,20,TM83,-,6
Ion Deluge,Electric,Status,Changes Normal-type moves to Electric-type.,-,-,25,,-,6
King's Shield,Steel,Status,Protects the user and lowers opponent's Attack on contact.,-,-,10,,-,6
Land's Wrath,Ground,Physical,,90,100,10,,-,6
Light of Ruin,Fairy,Special,User receives recoil damage.,140,90,5,,-,6
Magnetic Flux,Electric,Status,Raises Defense and Sp. Defense of Plus/Minus Pokémon.,-,-,20,,-,6
Mat Block,Fighting,Status,Protects teammates from damaging moves.,-,-,10,,-,6
Misty Terrain,Fairy,Status,Protects the field from status conditions for 5 turns.,-,-,10,,-,6
Moonblast,Fairy,Special,May lower opponent's Special Attack.,95,100,15,,30,6
Mystical Fire,Fire,Special,Lowers opponent's Special Attack.,75,100,10,,100,6
Noble Roar,Normal,Status,Lowers opponent's Attack and Special Attack.,-,100,30,,-,6
Nuzzle,Electric,Physical,Paralyzes opponent.,20,100,20,,100,6
Oblivion Wing,Flying,Special,User recovers most of the HP inflicted on opponent.,80,100,10,,-,6
Origin Pulse,Water,Special,Hits all adjacent opponents.,110,85,10,,-,6
Parabolic Charge,Electric,Special,User recovers half the HP inflicted on opponent.,65,100,20,,-,6
Parting Shot,Dark,Status,Lowers opponent's Attack and Special Attack then switches out. ,-,100,20,,-,6
Petal Blizzard,Grass,Physical,Hits all adjacent Pokémon.,90,100,15,,-,6
Phantom Force,Ghost,Physical,"Disappears on first turn, attacks on second. Can strike through Protect/Detect.",90,100,10,,-,6
Play Nice,Normal,Status,Lowers opponent's Attack. Always hits.,-,-,20,,-,6
Play Rough,Fairy,Physical,May lower opponent's Attack.,90,90,10,,10,6
Powder,Bug,Status,Damages Pokémon using Fire type moves.,-,100,20,,-,6
Power-Up Punch,Fighting,Physical,Raises Attack.,40,100,10,,100,6
Precipice Blades,Ground,Physical,Hits all adjacent opponents.,120,85,10,,-,6
Rototiller,Ground,Status,Raises Attack and Special Attack of Grass-types.,-,-,10,,-,6
Spiky Shield,Grass,Status,Protects the user and inflicts damage on contact.,-,-,10,,-,6
Steam Eruption,Water,Special,May burn opponent.,110,95,5,,30,6
Sticky Web,Bug,Status,Lowers opponent's Speed when switching into battle.,-,-,20,,-,6
Thousand Arrows,Ground,Physical,Makes Flying-type Pokémon vulnerable to Ground moves.,90,100,10,,-,6
Thousand Waves,Ground,Physical,Opponent cannot flee or switch.,90,100,10,,-,6
Topsy-Turvy,Dark,Status,Reverses stat changes of opponent.,-,-,20,,-,6
Trick-or-Treat,Ghost,Status,Adds Ghost type to opponent.,-,100,20,,-,6
Venom Drench,Poison,Status,Lowers poisoned opponent's Special Attack and Speed.,-,100,20,,-,6
Water Shuriken,Water,Special,Hits 2-5 times in one turn.,15,100,20,,-,6
"10,000,000 Volt Thunderbolt",Electric,Special,Pikachu-exclusive Z-Move.,195,-,1,,,7
Accelerock,Rock,Physical,User attacks first.,40,100,20,,,7
Acid Downpour,Poison,Z-Move,Poison type Z-Move.,-,-,1,,,7
All-Out Pummeling,Fighting,Z-Move,Fighting type Z-Move.,-,-,1,,,7
Anchor Shot,Steel,Physical,The user entangles the target with its anchor chain while attacking. The target becomes unable to flee.,80,100,20,,,7
Aurora Veil,Ice,Status,Halves damage from Physical and Special attacks for five turns.,-,-,20,TM70,,7
Baddy Bad,Dark,Special,Reduces damage from Physical attacks.,90,100,15,,,7
Baneful Bunker,Poison,Status,Protects the user and poisons opponent on contact.,-,-,10,,,7
Beak Blast,Flying,Physical,"The user first heats up its beak, and then it attacks the target. Making direct contact with the Pokémon while it's heating up its beak results in a burn.",100,100,15,,,7
Black Hole Eclipse,Dark,Z-Move,Dark type Z-Move.,-,-,1,,,7
Bloom Doom,Grass,Z-Move,Grass type Z-Move.,-,-,1,,,7
Bouncy Bubble,Water,Special,User recovers half the HP inflicted on opponent.,90,100,15,,,7
Breakneck Blitz,Normal,Z-Move,Normal type Z-Move.,-,-,1,,,7
Brutal Swing,Dark,Physical,The user swings its body around violently to inflict damage on everything in its vicinity.,60,100,20,TM59,,7
Burn Up,Fire,Special,"To inflict massive damage, the user burns itself out. After using this move, the user will no longer be Fire type.",130,100,5,,,7
Buzzy Buzz,Electric,Special,Paralyzes the opponent.,90,100,15,,100,7
Catastropika,Electric,Physical,Pikachu-exclusive Z-Move.,210,-,1,,,7
Clanging Scales,Dragon,Special,Lowers user's Defense.,110,100,5,,,7
Clangorous Soulblaze,Dragon,Special,Kommo-o exclusive Z-Move.,185,-,1,,,7
Continental Crush,Rock,Z-Move,Rock type Z-Move.,-,-,1,,,7
Core Enforcer,Dragon,Special,Scorches a 'Z' pattern on the ground.,100,100,10,,,7
Corkscrew Crash,Steel,Z-Move,Steel type Z-Move.,-,-,1,,,7
Darkest Lariat,Dark,Physical,Ignores opponent's stat changes.,85,100,10,,,7
Devastating Drake,Dragon,Z-Move,Dragon type Z-Move.,-,-,1,,,7
Double Iron Bash,Steel,Physical,Hits twice in one turn; may cause flinching.,60,100,5,,30,7
Dragon Hammer,Dragon,Physical,The user uses its body like a hammer to attack the target and inflict damage.,90,100,15,,,7
Extreme Evoboost,Normal,Status,Eevee-exclusive Z-Move. Sharply raises all stats.,-,-,1,,,7
Fire Lash,Fire,Physical,The user strikes the target with a burning lash. This also lowers the target's Defense stat.,80,100,15,,,7
First Impression,Bug,Physical,"Although this move has great power, it only works the first turn the user is in battle.",90,100,10,,,7
Fleur Cannon,Fairy,Special,Sharply lowers user's Special Attack.,130,90,5,,,7
Floaty Fall,Flying,Physical,May cause flinching.,90,95,15,,30,7
Floral Healing,Fairy,Status,The user restores the target's HP by up to half of its max HP. It restores more HP when the terrain is grass.,-,-,10,,,7
Freezy Frost,Ice,Special,Resets all stat changes.,90,100,15,,,7
Gear Up,Steel,Status,The user engages its gears to raise the Attack and Sp. Atk stats of ally Pokémon with the Plus or Minus Ability.,-,-,20,,,7
Genesis Supernova,Psychic,Special,Mew-exclusive Z-Move.,185,-,1,,,7
Gigavolt Havoc,Electric,Z-Move,Electric type Z-Move.,-,-,1,,,7
Glitzy Glow,Psychic,Special,Reduces damage from Special attacks.,90,100,15,,,7
Guardian of Alola,Fairy,Special,Tapu-exclusive Z-move. Cuts opponent's HP by 75%.,-,-,1,,,7
High Horsepower,Ground,Physical,The user fiercely attacks the target using its entire body.,95,95,10,,,7
Hydro Vortex,Water,Z-Move,Water type Z-Move.,-,-,1,,,7
Ice Hammer,Ice,Physical,"The user swings and hits with its strong, heavy fist. It lowers the user's Speed, however.",100,90,10,,,7
Inferno Overdrive,Fire,Z-Move,Fire type Z-Move.,-,-,1,,,7
Instruct,Psychic,Status,Allows an ally to use a move instead.,-,-,15,,,7
Laser Focus,Normal,Status,User's next attack is guaranteed to result in a critical hit.,-,-,30,,,7
Leafage,Grass,Physical,Strikes opponent with leaves.,40,100,40,,,7
Let's Snuggle Forever,Fairy,Physical,Mimikyu-exclusive Z-Move.,190,-,1,,,7
Light That Burns the Sky,Psychic,Special,Ultra Necrozma-exclusive Z-Move. Ignores target's ability; uses highest Attack stat.,200,-,1,,,7
Liquidation,Water,Physical,The user slams into the target using a full-force blast of water. This may also lower the target's Defense stat.,85,100,10,,,7
Lunge,Bug,Physical,"The user makes a lunge at the target, attacking with full force. This also lowers the target's Attack stat.",80,100,15,,,7
Malicious Moonsault,Dark,Physical,Incineroar-exclusive Z-Move.,180,-,1,,,7
Menacing Moonraze Maelstrom,Ghost,Special,Lunala-exclusive Z-Move.,200,-,1,,,7
Mind Blown,Fire,Status,User receives recoil damage.,150,100,5,,,7
Moongeist Beam,Ghost,Special,Ignores the target's ability.,100,100,5,,,7
Multi-Attack,Normal,Physical,Type matches user's current type.,90,100,10,,,7
Nature's Madness,Fairy,Special,Halves the foe's HP.,-,90,10,,,7
Never-Ending Nightmare,Ghost,Z-Move,Ghost type Z-Move.,-,-,1,,,7
Oceanic Operetta,Water,Special,Primarina-exclusive Z-Move.,195,-,1,,,7
Photon Geyser,Psychic,Special,"Uses Attack or Special Attack stat, whichever is higher.",100,100,5,,,7
Pika Papow,Electric,Special,Power increases when player's bond is stronger.,-,∞,20,,,7
Plasma Fists,Electric,Physical,Changes Normal-type moves to Electric-type moves.,100,100,15,,,7
